Абиссинская
Австралийский мист
Азиатская (табби)
Акринская
Американский бобтейл длинношёрстный
Американский бобтейл короткошёрстный
Американская жесткошёрстная
Американский кёрл длинношёрстный
Американский кёрл короткошёрстный
Американская короткошёрстная
Анатолийская
Аравийский мау
Балинезийская (Балинез, балийская)
Бенгальская
Бомбейская
Бразильская короткошёрстная
Британская длинношёрстная
Британская короткошёрстная
Бурма (Бурманская)
Бурмилла длинношёрстный
Бурмилла короткошёрстный
Гавана
Гималайская кошка
Девон рекс
Домашняя
Донской сфинкс
Кельтская (Европейская короткошёрстная)
Египетская мау
Йорк
Калифорнийская сияющая
Канаани
Карельский бобтейл длинношёрстный
Карельский бобтейл короткошёрстный
Кимрик
Корат
Корниш рекс
Курильский бобтейл длинношёрстный
Курильский бобтейл короткошёрстный
Лаперм длинношёрстный
Лаперм короткошёрстный
Манчкин длинношёрстная
Манчкин короткошёрстная
Мейн-кун
Меконгский бобтейл
Минскин
Мэнкс (Мэнская кошка)
Наполеон
Немецкий рекс
Нибелунг
Норвежская лесная
Орегон-рекс
Ориентальная длинношёрстная
Ориентальная короткошёрстная
Охос азулес
Охос азулес длинношёрстный
Оцикет
Персидская (Колорпойнт)
Колорпойнт
Петерболд
Пиксибоб длинношёрстный
Пиксибоб короткошёрстный
Рагамаффин
Русская голубая
Рэгдолл
Саванна
Священная бирманская
Сейшельская длинношёрстная
Сейшельская короткошёрстная
Селкирк рекс длинношёрстный
Селкирк рекс короткошёрстный
Серенгети
Сиамская
Сибирская
Экспериментальная порода
Невская маскарадная
Сингапурская
Скоттиш фолд
Скоттиш страйт
Сноу-Шу
Сококе
Сомали
Сфинкс (канадский)
Тайская
Шантильи Тиффаны
Тойгер
Тонкинская
Турецкая ангора
Турецкий ван
Украинский левкой
Уральский рекс длинношёрстный
Уральский рекс короткошёрстный
Форин Вайт
Хайленд фолд
Цейлонская
Чаузи
Шартрез
Эгейская
Экзотическая
Яванез (Яванская кошка)
Японский бобтейл длинношёрстный
Японский бобтейл короткошёрстный
